path	parent_main_pin	configured_branch	default_branch	current_default_head	status	workflow_role	con_repository
submodules/artwork	890a92fe62d6de0e142724fe1e79a4e82b920c4c	main	main	890a92fe62d6de0e142724fe1e79a4e82b920c4c	exact	irrelevant	none
submodules/bids-things	d0d4dfd9fc40f0e05daac28b8c3b151c25efb76b	main	main	d0d4dfd9fc40f0e05daac28b8c3b151c25efb76b	exact	irrelevant	none
submodules/centerforopenneuroscience.org	578723864c7ee55c4ec541fd41e5cf82055b434f	orinoco-lite	orinoco-lite	578723864c7ee55c4ec541fd41e5cf82055b434f	exact account mirror; nested congo URL points to leej3/congo	irrelevant	leej3/centerforopenneuroscience.org
submodules/curatee-kit	de3d023683f62419aa4a1d70b4dfad32b971beb5	main	main	de3d023683f62419aa4a1d70b4dfad32b971beb5	exact	irrelevant	none
submodules/dump-research-info	1c7e99ec6f296d5e6cb6a61e3b786227190802da	agent/git-native-con-metadata (missing)	main	60e8fb79c11eae62eaf17637d4d79f3bbc7edb98	divergent: pin-only 20, default-only 4	irrelevant	native con repository
submodules/dump-things-pyclient	1e79391195ad4412286344189dc5f81a06accb90	master	master	1e79391195ad4412286344189dc5f81a06accb90	exact	metadata refresh	none
submodules/dump-things-service	9f101d97c7f15d491f602db5a9c33ad9a19ad8bf	master	master	9f101d97c7f15d491f602db5a9c33ad9a19ad8bf	exact	live backend only	none
submodules/dump-things-service-mirror	0c883522f933bc89f1ec87c4ab7848015acce80f	master	master	0c883522f933bc89f1ec87c4ab7848015acce80f	exact	irrelevant	none
submodules/find-things	050d68ca9c5b9d8d543cfae20ee1486e90d5a6cf	main	main	050d68ca9c5b9d8d543cfae20ee1486e90d5a6cf	exact	irrelevant	none
submodules/flatson	e25086253b76a133471a7674f081547459087415	main	main	e25086253b76a133471a7674f081547459087415	exact	irrelevant	none
submodules/flatson-js	2e2763ee5b1c1caef7173b1cae8f3cbae3ba765b	main	main	2e2763ee5b1c1caef7173b1cae8f3cbae3ba765b	exact	irrelevant	none
submodules/flatsonpy	5a26ee71de35e30ae66ebd81c64e2249367bb0b4	main	main	5a26ee71de35e30ae66ebd81c64e2249367bb0b4	exact	irrelevant	none
submodules/flow	6971f35b8b2e2325aba6854e66360fed7424f6be	main	main	6971f35b8b2e2325aba6854e66360fed7424f6be	exact	metadata refresh	none
submodules/psyinf-pool-files-public	d5689b11c67d5232f84782c73ed003e847734557	main	main	d5689b11c67d5232f84782c73ed003e847734557	exact	irrelevant	none
submodules/query-things	ef1141430a471455d4a5f4e07d7989ec717f56f4	main	main	ef1141430a471455d4a5f4e07d7989ec717f56f4	exact	metadata refresh	none
submodules/research-information-ui-assets	f1b744e5d009c61b77bd3ddd6fde29c2ad46ea69	main	main	f1b744e5d009c61b77bd3ddd6fde29c2ad46ea69	exact	irrelevant	none
submodules/shacl-tulip	fee25fdfc00c4898e4a928814f576c027c75d678	main	main	fee25fdfc00c4898e4a928814f576c027c75d678	exact	irrelevant	none
submodules/pool.psychoinformatics.de-ui	1572ef909321626f5efb2ea04b2f256e03ba50a4	codex/local-deployment	main	45a698f58204c5413c757fe44ed47cd04e504674	deployment branch tracks local Dump Things, schema assets, git-annex configuration, and nested account URL	local editor and local service stack	leej3/pool.psychoinformatics.de-ui
submodules/some-things	ee1dcdac44076d94a70dcd3c2f07f404b4e69c14	main	main	ee1dcdac44076d94a70dcd3c2f07f404b4e69c14	exact	irrelevant	none
submodules/things-enrichment-tools	d15d0866e3208eb21365dac978d747aedb63b456	main	main	dcfcceda15987ce51ebf51ce1583824d474639fc	behind by 6 commits	irrelevant	none
submodules/things-graph-renderer	04f6241e37532fdb03b6f95d2dbe304e7171d504	main	main	04f6241e37532fdb03b6f95d2dbe304e7171d504	exact	maintenance only	none
submodules/things-schemas	d26ea4135e28c25b134c64de1cdc15d15cd2f9f0	main	main	d26ea4135e28c25b134c64de1cdc15d15cd2f9f0	exact	irrelevant to current workflow	none
submodules/tools	c76e9a9c547acddab3efd510c73e341793ca5cfa	main	main	c76e9a9c547acddab3efd510c73e341793ca5cfa	exact account mirror; nested datalad-concepts URL points to leej3/datalad-concepts	irrelevant	leej3/tools
submodules/www-from-model	6c8b9a5b7260dc20dfe1453dd863b353e8f90f06	main	main	6c8b9a5b7260dc20dfe1453dd863b353e8f90f06	exact account mirror; nested congo URL points to leej3/congo	static build and metadata refresh	leej3/www-from-model
